Gene	Gene_name	GO_class	Contributor	Organism	Evidence	Evidence_with	Reference	Date
G3RL47	Craniofacial development protein 1	GO:0006338	GO_Central	Gorilla gorilla gorilla	IBA	PANTHER:PTN000577775|SGD:S000000435	PMID:21873635	20211108
CFDP1	Craniofacial development protein 1	GO:0006338	GO_Central	Anolis carolinensis	IBA	PANTHER:PTN000577775|SGD:S000000435	PMID:21873635	20211108
CFDP1	Craniofacial development protein 1	GO:0000812	GO_Central	Anolis carolinensis	IBA	PANTHER:PTN004619306|SGD:S000000435	PMID:21873635	20211108
CFDP1	Craniofacial development protein 1	GO:0005634	GO_Central	Anolis carolinensis	IBA	PANTHER:PTN000577775|FB:FBgn0267398|SGD:S000000435	PMID:21873635	20211108
LOC104607100	craniofacial development protein 1	GO:0005634	GO_Central	Nelumbo nucifera	IBA	PANTHER:PTN000577775|FB:FBgn0267398|SGD:S000000435	PMID:21873635	20211108
LOC104607100	craniofacial development protein 1	GO:0006338	GO_Central	Nelumbo nucifera	IBA	PANTHER:PTN000577775|SGD:S000000435	PMID:21873635	20211108
25494136	Craniofacial development protein	GO:0005634	GO_Central	Medicago truncatula	IBA	PANTHER:PTN000577775|FB:FBgn0267398|SGD:S000000435	PMID:21873635	20211108
25494136	Craniofacial development protein	GO:0006338	GO_Central	Medicago truncatula	IBA	PANTHER:PTN000577775|SGD:S000000435	PMID:21873635	20211108
RCOM_1002440	Craniofacial development protein, putative	GO:0006338	GO_Central	Ricinus communis	IBA	PANTHER:PTN000577775|SGD:S000000435	PMID:21873635	20211108
RCOM_1002440	Craniofacial development protein, putative	GO:0005634	GO_Central	Ricinus communis	IBA	PANTHER:PTN000577775|FB:FBgn0267398|SGD:S000000435	PMID:21873635	20211108
F6RJQ7	Craniofacial development protein 1	GO:0005634	GO_Central	Xenopus tropicalis	IBA	PANTHER:PTN000577775|FB:FBgn0267398|SGD:S000000435	PMID:21873635	20211108
F6RJQ7	Craniofacial development protein 1	GO:0006338	GO_Central	Xenopus tropicalis	IBA	PANTHER:PTN000577775|SGD:S000000435	PMID:21873635	20211108
F6RJQ7	Craniofacial development protein 1	GO:0000812	GO_Central	Xenopus tropicalis	IBA	PANTHER:PTN004619306|SGD:S000000435	PMID:21873635	20211108
F6YEJ8	Craniofacial development protein 1	GO:0006338	GO_Central	Monodelphis domestica	IBA	PANTHER:PTN000577775|SGD:S000000435	PMID:21873635	20211108
F6YEJ8	Craniofacial development protein 1	GO:0005634	GO_Central	Monodelphis domestica	IBA	PANTHER:PTN000577775|FB:FBgn0267398|SGD:S000000435	PMID:21873635	20211108
F6YEJ8	Craniofacial development protein 1	GO:0000812	GO_Central	Monodelphis domestica	IBA	PANTHER:PTN004619306|SGD:S000000435	PMID:21873635	20211108
CFDP1	Craniofacial development protein 1	GO:0005634	GO_Central	Equus caballus	IBA	PANTHER:PTN000577775|FB:FBgn0267398|SGD:S000000435	PMID:21873635	20211108
CFDP1	Craniofacial development protein 1	GO:0006338	GO_Central	Equus caballus	IBA	PANTHER:PTN000577775|SGD:S000000435	PMID:21873635	20211108
CFDP1	Craniofacial development protein 1	GO:0000812	GO_Central	Equus caballus	IBA	PANTHER:PTN004619306|SGD:S000000435	PMID:21873635	20211108
DCANP1	Dendritic cell nuclear protein 1	GO:0097094	CAFA	Homo sapiens	IGI	UniProtKB:Q6ZNK6|UniProtKB:Q92886	PMID:23419067	20161209
NEUROG1	Neurogenin-1	GO:0097094	CAFA	Homo sapiens	IGI	UniProtKB:Q6ZNK6|UniProtKB:Q8TF63	PMID:23419067	20161209
FOXN3	Forkhead box protein N3	GO:0097094	Ensembl	Homo sapiens	IEA	UniProtKB:Q499D0|ensembl:ENSMUSP00000036035	GO_REF:0000107	20211009
MEGF8	Multiple epidermal growth factor-like domains protein 8	GO:0097094	UniProt	Homo sapiens	IMP		PMID:23063620	20140206
MMP16	Matrix metalloproteinase-16	GO:0097094	Ensembl	Homo sapiens	IEA	UniProtKB:Q9WTR0|ensembl:ENSMUSP00000029881	GO_REF:0000107	20211009
TMEM107	Transmembrane protein 107	GO:0097094	Ensembl	Homo sapiens	IEA	UniProtKB:Q9CPV0|ensembl:ENSMUSP00000091624	GO_REF:0000107	20211009
MMP14	Matrix metalloproteinase-14	GO:0097094	Ensembl	Homo sapiens	IEA	UniProtKB:P53690|ensembl:ENSMUSP00000087119	GO_REF:0000107	20211009
RAB23	Ras-related protein Rab-23	GO:0097094	UniProt	Homo sapiens	IMP		PMID:17503333	20121220
TIFAB	TRAF-interacting protein with FHA domain-containing protein B	GO:0097094	CAFA	Homo sapiens	IGI	UniProtKB:Q8TF63|UniProtKB:Q92886	PMID:23419067	20161209
FREM1	FRAS1-related extracellular matrix protein 1	GO:0097094	UniProt	Homo sapiens	IMP		PMID:21931569	20120426
NEUROG1	BHLH domain-containing protein	GO:0097094	Ensembl	Gallus gallus	IEA	UniProtKB:Q92886|ensembl:ENSP00000317580	GO_REF:0000107	20211009
MMP16	ZnMc domain-containing protein	GO:0097094	Ensembl	Gallus gallus	IEA	UniProtKB:Q9WTR0|ensembl:ENSMUSP00000029881	GO_REF:0000107	20211009
RAB23	Uncharacterized protein	GO:0097094	Ensembl	Gallus gallus	IEA	UniProtKB:Q9ULC3|ensembl:ENSP00000417610	GO_REF:0000107	20211009
FREM1	C-type lectin domain-containing protein	GO:0097094	Ensembl	Gallus gallus	IEA	UniProtKB:Q5H8C1|ensembl:ENSP00000370262	GO_REF:0000107	20211009
FOXN3	Fork-head domain-containing protein	GO:0097094	Ensembl	Gallus gallus	IEA	UniProtKB:Q499D0|ensembl:ENSMUSP00000036035	GO_REF:0000107	20211009
Foxn3	forkhead box N3	GO:0097094	RGD	Rattus norvegicus	ISO	MGI:1918625	RGD:1624291	20160217
Megf8	multiple EGF-like-domains 8	GO:0097094	Ensembl	Rattus norvegicus	IEA	UniProtKB:Q7Z7M0|ensembl:ENSP00000251268	GO_REF:0000107|RGD:1600115	20211009
Megf8	multiple EGF-like-domains 8	GO:0097094	RGD	Rattus norvegicus	ISO	UniProtKB:Q7Z7M0	RGD:1624291	20140206
Neurog1	neurogenin 1	GO:0097094	MGI	Mus musculus	ISO	UniProtKB:Q92886	MGI:MGI:4834177|GO_REF:0000096	20161209
Mmp16	matrix metallopeptidase 16	GO:0097094	MGI	Mus musculus	IGI	MGI:MGI:101900	MGI:MGI:3771253|PMID:18022611	20210330
Neurog1	neurogenin 1	GO:0097094	RGD	Rattus norvegicus	ISO	UniProtKB:Q92886	RGD:1624291	20161209
Mmp16	matrix metallopeptidase 16	GO:0097094	RGD	Rattus norvegicus	ISO	MGI:1276107	RGD:1624291	20210330
Mmp16	matrix metallopeptidase 16	GO:0097094	Ensembl	Rattus norvegicus	IEA	UniProtKB:Q9WTR0|ensembl:ENSMUSP00000029881	GO_REF:0000107|RGD:1600115	20211009
Mmp14	matrix metallopeptidase 14	GO:0097094	RGD	Rattus norvegicus	ISO	MGI:101900	RGD:1624291	20131219
Tifab	TRAF-interacting protein with forkhead-associated domain, family member B	GO:0097094	MGI	Mus musculus	ISO	UniProtKB:Q6ZNK6	MGI:MGI:4834177|GO_REF:0000096	20161209
Rab23	RAB23, member RAS oncogene family	GO:0097094	MGI	Mus musculus	ISO	UniProtKB:Q9ULC3	MGI:MGI:4834177|GO_REF:0000096	20121220
MMP14	Matrix metalloproteinase-14	GO:0097094	Ensembl	Bos taurus	IEA	UniProtKB:P53690|ensembl:ENSMUSP00000087119	GO_REF:0000107	20211009
TMEM107	Transmembrane protein 107	GO:0097094	Ensembl	Bos taurus	IEA	UniProtKB:Q9CPV0|ensembl:ENSMUSP00000091624	GO_REF:0000107	20211009
FREM1	C-type lectin domain-containing protein	GO:0097094	Ensembl	Bos taurus	IEA	UniProtKB:Q5H8C1|ensembl:ENSP00000370262	GO_REF:0000107	20211009
TIFAB	FHA domain-containing protein	GO:0097094	Ensembl	Bos taurus	IEA	UniProtKB:Q6ZNK6|ensembl:ENSP00000440509	GO_REF:0000107	20211009
NEUROG1	BHLH domain-containing protein	GO:0097094	Ensembl	Bos taurus	IEA	UniProtKB:Q92886|ensembl:ENSP00000317580	GO_REF:0000107	20211009
MMP16	ZnMc domain-containing protein	GO:0097094	Ensembl	Bos taurus	IEA	UniProtKB:Q9WTR0|ensembl:ENSMUSP00000029881	GO_REF:0000107	20211009
RAB23	RAB23, member RAS onco family	GO:0097094	Ensembl	Bos taurus	IEA	UniProtKB:Q9ULC3|ensembl:ENSP00000417610	GO_REF:0000107	20211009
MEGF8	Multiple EGF like domains 8	GO:0097094	Ensembl	Bos taurus	IEA	UniProtKB:Q7Z7M0|ensembl:ENSP00000251268	GO_REF:0000107	20211009
FOXN3	Fork-head domain-containing protein	GO:0097094	Ensembl	Bos taurus	IEA	UniProtKB:Q499D0|ensembl:ENSMUSP00000036035	GO_REF:0000107	20211009
MMP14	Matrix metalloproteinase-14	GO:0097094	Ensembl	Canis lupus familiaris	IEA	UniProtKB:P53690|ensembl:ENSMUSP00000087119	GO_REF:0000107	20211009
TIFAB	TIFA inhibitor	GO:0097094	Ensembl	Canis lupus familiaris	IEA	UniProtKB:Q6ZNK6|ensembl:ENSP00000440509	GO_REF:0000107	20211009
TMEM107	Transmembrane protein 107	GO:0097094	Ensembl	Canis lupus familiaris	IEA	UniProtKB:Q9CPV0|ensembl:ENSMUSP00000091624	GO_REF:0000107	20211009
MMP16	ZnMc domain-containing protein	GO:0097094	Ensembl	Canis lupus familiaris	IEA	UniProtKB:Q9WTR0|ensembl:ENSMUSP00000029881	GO_REF:0000107	20211009
Tifab	TIFA inhibitor	GO:0097094	RGD	Rattus norvegicus	ISO	UniProtKB:Q6ZNK6	RGD:1624291	20161209
Frem1	Fras1 related extracellular matrix 1	GO:0097094	RGD	Rattus norvegicus	ISO	UniProtKB:Q5H8C1	RGD:1624291	20120426
Rab23	RAB23, member RAS oncogene family	GO:0097094	RGD	Rattus norvegicus	ISO	UniProtKB:Q9ULC3	RGD:1624291	20121220
Tmem107	transmembrane protein 107	GO:0097094	RGD	Rattus norvegicus	ISO	MGI:1914160	RGD:1624291	20201016
